,nick,normal,double,1.5meeting
0,yann0u,0 days 19:20:00.000000000,38:40:0,37:0:0
1,ironic,0 days 16:10:00.000000000,32:20:0,32:15:0
2,eibwen,0 days 13:40:00.000000000,27:20:0,27:30:0
3,franzt,0 days 13:25:00.000000000,26:50:0,27:7:30
4,os10000,0 days 13:20:00.000000000,26:40:0,27:0:0
5,sebalis,0 days 13:20:00.000000000,26:40:0,27:0:0
6,remy_o,0 days 12:00:00.000000000,24:0:0,25:0:0
7,lemeda,0 days 11:00:00.000000000,22:0:0,22:30:0
8,simplysaym,0 days 10:45:00.000000000,21:30:0,22:7:30
9,damok,0 days 10:40:00.000000000,21:20:0,22:0:0
10,tribut,0 days 10:40:00.000000000,21:20:0,22:0:0
11,waffle,0 days 10:35:00.000000000,21:10:0,21:52:30
12,hnms,0 days 10:10:00.000000000,20:20:0,21:15:0
13,db0,0 days 10:10:00.000000000,20:20:0,21:15:0
14,ningwie,0 days 10:00:00.000000000,20:0:0,21:0:0
15,joern,0 days 09:20:00.000000000,18:40:0,19:0:0
16,afrowson,0 days 09:20:00.000000000,18:40:0,19:0:0
17,guillermo,0 days 09:20:00.000000000,18:40:0,19:0:0
18,informancer,0 days 09:20:00.000000000,18:40:0,19:0:0
19,korfuri,0 days 09:10:00.000000000,18:20:0,18:45:0
20,gooniesbro,0 days 09:00:00.000000000,18:0:0,18:30:0
21,evajuliane,0 days 08:50:00.000000000,17:40:0,18:15:0
22,genbi,0 days 08:40:00.000000000,17:20:0,18:0:0
23,ketiesaner,0 days 08:40:00.000000000,17:20:0,18:0:0
24,cami,0 days 08:40:00.000000000,17:20:0,18:0:0
25,ben,0 days 08:40:00.000000000,17:20:0,18:0:0
26,kalessin,0 days 08:30:00.000000000,17:0:0,17:45:0
27,ludwig,0 days 08:20:00.000000000,16:40:0,17:30:0
28,dimir,0 days 08:20:00.000000000,16:40:0,17:30:0
29,vassago,0 days 08:20:00.000000000,16:40:0,17:30:0
30,phlo,0 days 08:20:00.000000000,16:40:0,17:30:0
31,iggle,0 days 08:10:00.000000000,16:20:0,17:15:0
32,iconi,0 days 08:10:00.000000000,16:20:0,17:15:0
33,kaste,0 days 08:00:00.000000000,16:0:0,17:0:0
34,misssensei,0 days 07:50:00.000000000,15:40:0,15:45:0
35,comoelcometa,0 days 07:40:00.000000000,15:20:0,15:30:0
36,saltunza,0 days 07:30:00.000000000,15:0:0,15:15:0
37,duckman,0 days 07:30:00.000000000,15:0:0,15:15:0
38,tonihds,0 days 07:20:00.000000000,14:40:0,15:0:0
39,shesapirate,0 days 07:10:00.000000000,14:20:0,14:45:0
40,belfar,0 days 07:00:00.000000000,14:0:0,14:30:0
41,breakthesystem,0 days 07:00:00.000000000,14:0:0,14:30:0
42,problame,0 days 07:00:00.000000000,14:0:0,14:30:0
43,kwiii,0 days 07:00:00.000000000,14:0:0,14:30:0
44,pharmafirma,0 days 07:00:00.000000000,14:0:0,14:30:0
45,mary,0 days 06:45:00.000000000,13:30:0,14:7:30
46,pinkdispatcher,0 days 06:40:00.000000000,13:20:0,14:0:0
47,max_eaxedx,0 days 06:40:00.000000000,13:20:0,14:0:0
48,mrbronze,0 days 06:40:00.000000000,13:20:0,14:0:0
49,flego,0 days 06:40:00.000000000,13:20:0,14:0:0
50,petepriority,0 days 06:40:00.000000000,13:20:0,14:0:0
51,snakey,0 days 06:40:00.000000000,13:20:0,14:0:0
52,lukaro,0 days 06:40:00.000000000,13:20:0,14:0:0
53,flo_h,0 days 06:20:00.000000000,12:40:0,13:30:0
54,bubbler,0 days 06:20:00.000000000,12:40:0,13:30:0
55,oskar,0 days 06:20:00.000000000,12:40:0,13:30:0
56,aegy,0 days 06:00:00.000000000,12:0:0,13:0:0
57,mio,0 days 05:40:00.000000000,11:20:0,11:30:0
58,whitey_chan,0 days 05:20:00.000000000,10:40:0,11:0:0
59,scriptkiddi,0 days 05:20:00.000000000,10:40:0,11:0:0
60,mfh,0 days 05:20:00.000000000,10:40:0,11:0:0
61,pascaline,0 days 05:10:00.000000000,10:20:0,10:45:0
62,eskarina,0 days 05:00:00.000000000,10:0:0,10:30:0
